log-TPM	fur__wt_fe	omics__bw_ac	omics__bw_fum	omics__bw_glc	omics__bw_pyr	cra_crp__wt_ac	cra_crp__wt_fru	rpoB__wt_lb	42c__wt_42c	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ica__wt_glc	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__leu_glcr	ica__met_glc	ica__no3_anaero	ica__phe_acgam	ica__thm_gal	ica__tyr_glcn	ica__ura_pyr	ica__ade_glc	ytf__wt_glc	ytf__wt_ph5	ytf__wt_ph8
b1823	10.38454021034715	9.37777151802108	10.3627284875461	10.220173297882251	9.02645942925738	7.45615573796501	6.720824863085586	7.03980783968141	5.83909857149442	10.7247568802396	10.6878891619491	10.8703950257573	11.7659596478184	9.310302287642305	10.09985357131309	9.133487793023114	10.012903148296576	9.500003233262223	9.55400168942043	10.2863963924078	8.438969400736351	7.869055290935424	8.90202665422644	9.76836926140624	9.31606620929916	9.350319298510447	9.73359747678963	9.68252131377761
b1824	9.380128650497165	9.38935827507329	9.336711553937254	9.30142368143959	8.88872840974513	7.001072391370485	6.52053334851098	3.34912660617648	4.71060296837047	9.06532532297972	11.2839246812414	9.51401086866183	10.5662202957015	7.217230530324547	7.42018478738689	6.70681386403463	8.08210905469813	7.363191050857701	7.97651826948923	8.334973291138045	5.206891797164035	4.8150547014204506	6.951500621968975	7.731800007023975	7.34113055670518	7.238517475931285	7.590813979852815	7.599987321795295
b1825	6.47809610641006	6.406642800348996	7.0097894220952295	7.89274544824248	7.130343399720215	5.935375250951205	6.37783247807887	3.735897568315695	5.93117485663062	5.44761380644989	7.17519800512892	6.25401222086609	7.14681525743996	6.804107131061123	5.504792808327609	4.4184446117828156	6.218344274550245	6.969697498293344	6.79820635493822	6.835130746396355	6.287902027460804	5.521925011411019	6.583117236721215	6.47005449561874	8.2330281235469	6.3487258132241	7.097649490732531	7.156419258756856
b1826	3.53753505647854	3.91189130304481	4.84153694026645	5.147044056394	4.235827982713451	0	2.1782944235153	0	2.86709618862854	2.1830632203389	2.73652863448528	4.98672818170622	3.96060323303854	2.2999852604345183	1.7484891201678598	2.311042814128245	2.53583740466911	2.2150504164864	2.6393526303477453	2.61563663306528	0.74483871597353	0.4629772679357015	2.342591795879795	2.29056046879594	2.474953623595235	2.91401864941877	3.0756541222604	4.12537316246328
b1827	7.546697935627815	8.515772850442906	8.14553436136719	7.97257210509712	8.573361930070622	7.952119274388904	7.931997863233645	7.89695877929069	7.4780578189654	7.59958311463826	6.77134501228706	7.03081633856181	6.43038616320494	7.365427377984054	7.20968033406308	8.005217068735416	7.221262805067825	7.130360362369145	7.10128554345485	7.78648158116939	7.177654634923105	7.461636544984535	7.13486388129241	7.78342275025357	8.091553729728851	7.8126726445893	7.668771559642595	7.56656240460379
b1828	1.82121601170833	3.2103918761844	2.5062562720297903	2.352145229152115	2.737309525143655	3.5881555309527853	3.31469185733648	2.92669852982364	0	3.14438516332491	1.48134470895064	2.83118421546845	3.50722002217914	2.2357372905720316	2.5242007178561447	2.33551824184159	3.430520308589465	2.6308133932611604	2.37919236968676	2.9943546750551553	2.42753375141451	2.550564791501015	2.358578980529135	2.38373500720069	2.902015152204855	1.773793585542015	2.86592262939888	2.0910046677783303
b1829	8.317177284417085	9.1717871513883	9.90947908776555	9.43604915708547	9.609473856390784	8.538340912348339	8.98256274988705	9.21257306007279	9.28639041903156	8.43877404329249	8.42339603548693	8.430491320085	7.3757058259133	8.945462767605767	9.465861991821034	8.99825639270492	8.499164748652545	8.91576688193331	8.747504417261846	7.700403402081594	8.79504314092743	8.67933381718489	8.657634130480625	8.894980357416149	9.66409497207118	9.08304172889132	8.18304688378181	9.283971090824934
b1830	8.574703174952514	8.619962794579884	8.918964212315611	9.154798919914576	9.083184332150616	8.58599750555288	8.713165099124886	8.878136092155529	9.20060828724637	8.33699078920994	8.7221405798524	8.41171944673592	8.3941380623985	9.021574881645114	8.761124831425764	8.0053745568921	8.063247180692235	9.300849337073725	8.97361240266541	9.051660469249054	9.128444602374245	8.723172221840613	8.934740788003355	8.911953112686671	9.25723377159089	8.61454560729408	9.24898468316278	9.1135010531803
b1831	9.94080861661713	9.696771645738234	10.1077452611631	10.226213372002949	9.84792112541233	9.43397193200989	9.510989692262685	9.742337694836165	10.2172249325208	9.05149956949092	9.87427391720056	9.18824303335437	8.88429537884723	9.314156918663372	8.66123748337643	8.309744905227065	9.469874449344	9.089549234541966	9.376667472037944	9.108581120848925	9.63173587681738	9.135741156066466	9.135896566830857	9.060275796832986	9.4954200896874	8.874611598047604	9.46193715789131	9.42977221745201
b1832	7.84318765686532	7.729574235125366	7.686928951889415	8.43779559149408	7.88376477669612	6.719798152868515	7.0240265370668595	7.97049462242859	8.2249955432449	8.08000253280585	8.5430512605577391	7.1374173548121	8.20049665608255	8.321467345712103	7.519056862722505	8.122795527076661	8.607314545834797	8.14568133323729	7.965043079252255	8.36815379697068	8.264902508606564	8.156638984967621	7.842556598574675	8.10385066646899	8.42291360620304	8.200588971513545	8.540953428247395	8.396737451441389
b1833	4.651871235886305	5.139376362553776	5.021431402558745	5.414854873022515	5.204306708044481	4.983382190491785	4.7336305620237855	5.1750923601293355	4.80718225916895	5.14422916553172	5.09754666954034	5.90460001766981	5.98802366773822	4.960729040398974	5.22802406047036	5.53802613213315	6.51419204963854	5.314302874048205	4.68605700258351	5.4176781920159645	4.880600614952665	5.087555308787975	4.73798204018824	5.161542498617435	5.494431032031979	5.075842273522545	5.4022981462454105	5.139825527437354
b1834	5.668803094109926	5.843521956812115	5.75597688503749	6.122711464849081	5.99338303597348	5.997037732239245	5.97069418898422	6.57046786309968	5.92924616362206	6.14091778209442	5.89352995302166	6.45208687487714	6.02095311345959	5.710663696888923	6.054548133099335	6.57275650432185	6.271695968424375	6.04043446466465	5.728253092931105	6.030448245294715	5.962079010604819	6.110854871769025	5.6965982862982	5.7821811078252345	5.73780027127256	5.773310612219755	6.3650684783248295	6.127130833553415
b1835	5.471323411420925	5.632749661748575	5.37176194652384	5.657652745583221	5.50577321667065	5.868168526824885	5.611987719428115	4.99415159882953	5.76065482862022	5.96089370887577	5.65263666166384	5.67594716025141	5.80670884587149	5.706210400056091	5.397821693100465	4.457449452625295	5.426318121217895	5.974455426651245	5.83313693388266	6.222705119814931	5.935105090772074	5.49415439323055	5.850034677855565	5.664159861882055	5.730846311088685	5.189205168502255	5.86158109172098	5.758489267872299
b1836	7.94256408164656	10.083164367611651	7.26680097064845	8.331565029875229	7.994891222172081	7.049132168768395	5.077831675202205	5.56574978068417	4.03060761264215	11.6195499524702	8.73882573293281	8.16920569326144	9.92289651640091	5.46927318333827	6.554132326028535	8.640866755650844	11.22913608079935	6.0808541791790205	5.280256998042844	8.541087489716954	4.981203330221155	7.16151264132052	4.377772928634165	6.910456664838465	5.291605946293	7.336410479122311	8.09610163651942	7.54030219217437
