log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0781	48.0	7.796337718195276	0.7396399045986759	6.36876997082886	7.316160291380295	7.69854177251371	8.055320912117633	10.13406430911885	0.09487017255197744	0.009000349640041974	-0.0389567894852588	-0.09769411993945622	-0.026981542438565046
b0782	48.0	8.11384316211681	0.9604256923693445	6.22840913001195	7.4479361916512525	8.062647938305323	8.647009323771591	10.316825691826399	0.11836877706159411	0.014011167383057369	-0.06602982169345845	-0.21501503364189692	-0.16910966739664007
b0783	48.0	7.649126825881317	0.8255908445743498	5.968494020923295	7.064201675769595	7.713297979953365	8.150664629671159	9.39169891781479	0.10793269132117271	0.011649465855831553	-0.046900220987405386	-0.13128185051556204	-0.04212812260025448
b0784	48.0	4.337920030446149	1.3261127783655104	0.0	3.6273295444658196	4.277938156211455	5.131392542165224	6.56624538183214	0.30570244934393626	0.09345398753488193	-0.07991710200059163	-0.3593230847072554	-0.27882736813776676
b0785	48.0	7.420302030340166	0.8074101083238499	5.6909037684449	6.914935718836108	7.556047790396439	7.798392616664872	8.899550090060805	0.10881094934175288	0.01183982269665351	0.01641499241729054	0.04493655773920354	0.0885993506232156
b0786	48.0	7.992885129156117	0.6568919448313714	6.387740484426486	7.49659774681669	7.9570786501611925	8.391876215690782	9.22612934311039	0.08218458469210173	0.006754305961013242	-0.13181868657196194	-0.2935863427845784	-0.18973941815449666
b0787	48.0	2.7584625542226093	0.7794630020293024	0.0	2.4547071325112926	2.8256193029751007	3.264706032544079	4.01990286378334	0.28257153639302196	0.07984667317951295	-0.11587842670670606	-0.30624078438321695	-0.053854507241562426
b0788	48.0	3.733964947706211	0.8186658953765842	1.67816518854631	3.2708072436660816	3.8211463334387648	4.338667894148032	5.379616872315685	0.2192484147124878	0.04806986735393904	-0.072326223809449	-0.20075548604861448	-0.06650380178519553
b0789	48.0	5.022127163954777	0.9844318113881094	2.4113625314196847	4.257866154581701	5.4058544445953345	5.687616963419779	6.99603485902291	0.19601889383718799	0.03842340674115477	-0.03877287013401817	-0.12941318396971796	0.03827361653760233
b0790	48.0	5.393414034961256	1.0529928153885586	2.82949729507843	4.642027936476484	5.6370238111362	6.13982721630356	7.929618521789729	0.19523678481993695	0.03811740214682636	-0.026929715171810725	-0.09614398093813342	0.05814332384648524
