locus_tag,GCI,gene_name
b0865,-0.26703898873855136,ybjP
b0866,-0.35145983125547814,ybjQ
b0867,-0.11829923862162628,amiD
b0868,-0.3089566512426105,ybjS
b0869,-0.44368341818368806,ybjT
b0870,-0.1780966083394368,ltaE
b0871,-0.4898658579591512,poxB
b0874,-0.24149285897171263,lysO
b0875,-0.5505332470847207,aqpZ
b0876,-0.02991685202093624,ybjD
b0878,-0.11651265953904895,macA
b0879,-0.4298021862313084,macB
b0880,-0.5614538090176298,cspD
b0881,-0.40366494903474237,clpS
b0882,-0.23180907676079404,clpA
b0884,-0.2688891662318773,infA
b0885,-0.31522400191987177,aat
b0889,-0.14971952675430872,lrp
b0890,-0.15782381224603104,ftsK
b0892,-0.0870938248535409,rarA
b0897,-0.5882569029348133,ycaC
b0898,-0.4486694861561229,ycaD
b0899,-0.26677672631791405,ycaM
b0900,-0.21116758931718674,ycaN
b0901,-0.20297392253290936,ycaK
b0906,-0.5953398536875857,ycaP
b0907,-0.17502176795535365,serC
b0909,-0.03642537129356532,ycaL
b0910,-0.18606300947784105,cmk
b0912,-0.25007752513563136,ihfB
b0913,-0.4717601413098274,ycaI
b0914,-0.21154043462494262,msbA
b0915,-0.033403408586486695,lpxK
b0916,-0.43078182789500397,ycaQ
b0917,-0.0023172011750767236,ycaR
b0920,-0.40356774020705133,elyC
b0921,-0.10512344917751233,cmoM
b0922,-0.02787247680581424,mukF
b0923,-0.1721688522324172,mukE
b0926,-0.5092504023813464,ycbK
b0927,-0.4783378800454272,gloC
b0929,-0.12409941248305321,ompF
b0931,-0.2901071801999239,pncB
b0932,-0.17317438605024474,pepN
b0933,-0.4464564388305818,ssuB
b0934,-0.28433972624723286,ssuC
b0935,-0.27633668351021184,ssuD
b0936,-0.3307430110515808,ssuA
b0937,-0.3289428384994148,ssuE
b0940,-0.4926630813450613,elfC
b0941,-0.511919877541,elfG
b0942,-0.3988265075888045,ycbU
b0943,-0.26081760540126114,ycbV
b0944,-0.4653670145162138,ycbF
b0945,-0.059262870951114925,pyrD
b0946,-0.3661083171067741,zapC
b0947,-0.21852197105033422,ycbX
b0950,-0.21620771304091735,pqiA
b0951,-0.056105701509734505,pqiB
b0952,-0.2595675993336774,pqiC
b0953,-0.6729830066819886,rmf
b0954,-0.3748069244388673,fabA
b0955,-0.13034030915453307,ycbZ
b0958,-0.2567678464062954,sulA
b0959,-0.3334459961631779,sxy
b0961,-0.21855683616432664,yccF
b0963,-0.018456848472413627,mgsA
b0964,-0.5253416305297096,yccT
b0965,-0.43392605213067176,yccU
b0966,-0.3543223713233375,hspQ
b0968,-0.3036889162584948,yccX
b0970,-0.18554511630222623,yccA
b0972,-0.17268860329235916,hyaA
b0973,-0.26825045017964905,hyaB
b0974,-0.4153955674975893,hyaC
b0975,-0.23201465176060032,hyaD
b0976,-0.2347197902992617,hyaE
b0977,-0.44766913565969474,hyaF
b0978,-0.3149026237649085,appC
b0979,-0.3351595457423495,appB
b0980,-0.3781201670151609,appA
b0981,-0.27758759150636986,etk
b0982,-0.19454007046753566,etp
b0984,-0.16854725146136992,gfcD
b0985,-0.12225796436070613,gfcC
b0986,-0.21694863091870864,gfcB
b0991,-0.02287354850820805,ymcE
b0994,-0.1733480467457738,torT
b0995,-0.19800670011130633,torR
b0996,-0.20057807996658164,torC
b0997,-0.3681381785066981,torA
b0998,-0.18748831952714615,torD
b0999,-0.35558271599040303,cbpM
b1000,-0.1870899813617346,cbpA
b1001,-0.3318521684240328,yccE
b1002,-0.5200544296869813,agp
b1003,-0.3704686443059882,yccJ
b1004,-0.3013743529233895,wrbA
b1006,-0.41072952780338084,rutG
b1007,-0.13121984610716786,rutF
b1008,-0.1319705311525693,rutE
b1009,-0.11048128516494761,rutD
b1010,-0.08122959637985072,rutC
b1011,-0.12934018851500179,rutB
b1012,-0.2778794167302514,rutA
b1013,-0.38424687104281896,rutR
b1015,-0.08022479081471084,putP
b1018,-0.10118395729763754,efeO
b1019,-0.1041522168202159,efeB
b1020,-0.5337359484411243,phoH
b1021,-0.3316228747965925,pgaD
b1022,-0.3178111080627337,pgaC
b1023,-0.22182490492111567,pgaB
b1024,-0.22454962772681786,pgaA
b1025,-0.17818184683201294,dgcT
b1027,-0.17354742110759255,insE-4
b1037,-0.4555737007825674,csgG
b1038,-0.4519683220319003,csgF
b1039,-0.5189067456765581,csgE
b1040,-0.5585172281907079,csgD
b1042,-0.5966837888351867,csgA
b1044,-0.2155478556367819,ymdA
b1045,-0.519513866516306,ymdB
b1046,-0.6355092917041534,clsC
b1047,-0.2076388632255175,opgC
b1048,-0.2087182836099225,opgG
b1049,-0.17937222379238435,opgH
b1050,-0.26411156779287054,yceK
b1051,-0.48538730332914964,msyB
b1053,-0.008224253400111488,mdtG
b1055,-0.3062927070604911,yceA
b1056,-0.264341465171393,yceI
b1057,-0.37789650753579235,yceJ
b1059,-0.07383962266586774,solA
b1060,-0.17255326330095197,bssS
b1062,-0.13460486181071613,pyrC
b1063,-0.16354207163901005,yceB
b1064,-0.5056376076937118,grxB
b1065,-0.2268806717326426,mdtH
b1067,-0.029645324018997544,yceH
b1069,-0.2571319902680132,murJ
b1070,-0.031854647006562084,flgN
b1071,-0.00488469422117007,flgM
b1072,-0.007733118406511598,flgA
b1076,-1.4413727913216063e-4,flgE
b1078,-0.004684254364838853,flgG
b1079,-0.06525542336721663,flgH
b1080,-0.04612515347972541,flgI
b1081,-0.05796063323334734,flgJ
