locus_tag,GCI,gene_name
b0481,0.17290615679458132,ybaK
b0482,0.028205983248040398,ybaP
b0484,0.07226943725780359,copA
b0488,0.004799772179902079,ybbJ
b0492,0.24532659515284788,cnoX
b0493,0.3333178202764616,ybbO
b0494,0.11461249281618104,tesA
b0503,0.21526969197715368,selU
b0509,0.03917303647407559,glxR
b0524,0.10283383216024468,lpxH
b0526,0.3782837337663788,cysS
b0529,0.10989642263573544,folD
b0552,0.06641535082054331,insH-2
b0553_1,0.1317746006050048,NA
b0557,0.29731181255914046,borD
b0559,0.16523495046851508,ybcW
b0568,0.18584524288658125,nfrA
b0577,0.03746316419679309,ybdG
b0578,0.5323782923720515,nfsB
b0606,0.5108127160771427,ahpF
b0607,0.15791419290279013,uspG
b0610,0.277803826616506,rnk
b0611,0.017914112252038896,rna
b0618,0.11750084547470682,citC
b0620,0.07536865875100374,dpiA
b0621,0.20966322749009722,dcuC
b0628,0.010610176512943065,lipA
b0630,0.002263662848897405,lipB
b0632,0.15413680675394262,dacA
b0633,0.004436379996870503,rlpA
b0636,0.21116710454833926,rlmH
b0641,0.08903446016560863,lptE
b0642,0.08780978966910999,leuS
b0651,0.06956773426997405,rihA
b0656,0.09257267077574541,insH-3
b0662,0.3203032552833066,ubiF
b0674,0.30189027599913293,asnB
b0675,0.2840096479487797,umpH
b0676,0.16060927463642774,nagC
b0677,0.16526544197628676,nagA
b0678,0.2597483877813089,nagB
b0679,0.3242223583789657,nagE
b0680,0.6026085030837427,glnS
b0681,0.13158956925091386,chiP
b0684,0.05354018177572098,fldA
b0686,0.2505925108509314,ybfF
b0687,0.05091168625004833,seqA
b0688,0.10107030533876202,pgm
b0694,0.03632419830508608,kdpE
b0710,0.15830409253553682,ybgI
b0711,0.16062537775160665,pxpB
b0712,0.11080344861055672,pxpC
b0713,0.20107634578376427,pxpA
b0714,0.28648701438750074,nei
b0715,0.25518119234377357,abrB
b0726,0.09855612419429731,sucA
b0727,0.12722580736711125,sucB
b0728,0.013149657624918296,sucC
b0733,0.3752344031639037,cydA
b0734,0.28872429517492587,cydB
b0741,0.05002685519571482,pal
b0755,0.1198796822089123,gpmA
b0758,0.12013672488938527,galT
b0759,0.13447325656076173,galE
