locus_tag,mean_exp,gci,gene_name
b0982,3.2034685596573107,-0.19454007046753571,etp
b0984,2.5769892857304892,-0.16854725146136992,gfcD
b0985,2.442618041559895,-0.1222579643607062,gfcC
b0986,2.166768127559954,-0.2169486309187087,gfcB
b0991,0.5382078175578673,-0.02287354850820807,ymcE
b0994,3.408982498629094,-0.17334804674577378,torT
b0995,5.259265497555486,-0.19800670011130653,torR
b0996,1.2167847688426214,-0.20057807996658167,torC
b0997,2.7544925597811605,-0.36813817850669794,torA
b0998,2.885114884482006,-0.18748831952714612,torD
b1001,1.7833117898534785,-0.33185216842403303,yccE
b1006,3.347688965262486,-0.410729527803381,rutG
b1007,1.7215645147099716,-0.13121984610716791,rutF
b1008,1.1602556926185978,-0.13197053115256926,rutE
b1009,1.4478726970147051,-0.11048128516494768,rutD
b1010,1.23414173137967,-0.08122959637985075,rutC
b1011,1.0309307327918664,-0.12934018851500176,rutB
b1012,1.3092886185342207,-0.27787941673025157,rutA
b1013,5.101867346024325,-0.3842468710428188,rutR
b1021,2.278626428316615,-0.3316228747965926,pgaD
b1022,2.0396433335681174,-0.317811108062734,pgaC
b1023,2.205239148270595,-0.22182490492111587,pgaB
b1024,2.913660336246495,-0.2245496277268177,pgaA
b1025,3.621643528903157,-0.178181846832013,dgcT
b1037,4.6962214019286295,-0.4555737007825678,csgG
b1038,3.2362203725861107,-0.4519683220319003,csgF
b1039,3.340405235782021,-0.5189067456765585,csgE
b1040,5.090897539172316,-0.558517228190708,csgD
b1042,4.080217882696865,-0.5966837888351868,csgA
b1044,2.983021804682008,-0.2155478556367819,ymdA
b1045,5.480480022203463,-0.5195138665163057,ymdB
b1046,4.6168236217999965,-0.6355092917041537,clsC
b1047,3.7695560799579697,-0.20763886322551753,opgC
b1050,2.698132684113229,-0.2641115677928705,yceK
b1053,3.339664843022086,-0.00822425340011145,mdtG
b1057,3.565012209378926,-0.3778965075357924,yceJ
b1060,5.010807876685571,-0.17255326330095197,bssS
b1065,3.5170199512355427,-0.22688067173264256,mdtH
b1069,5.344634403528394,-0.2571319902680132,murJ
b1070,5.487915700252525,-0.03185464700656211,flgN
b1071,4.828180676850087,-0.00488469422117003,flgM
b1072,5.120477194754571,-0.00773311840651158,flgA
b1078,5.421013765224439,-0.00468425436483885,flgG
b1079,4.000436402042468,-0.06525542336721667,flgH
b1080,3.924885052174136,-0.0461251534797254,flgI
b1081,3.837332398534645,-0.05796063323334734,flgJ
b1082,4.862003357269879,-0.05178582547401039,flgK
b1096,5.537076031809208,-0.24023206442937609,pabC
b1102,4.770175099886,-0.34956338426482236,fhuE
b1110,3.8545723003825674,-0.10382147477165504,ycfJ
b1112,4.66650117736986,-0.02272434687233398,bhsA
b1113,5.55343639681717,-0.16310691189225873,ldtC
b1115,1.4059656597759598,-0.3446353252255677,ycfT
b1125,5.234068795319173,-0.207009470881458,potB
b1134,5.460505799021406,-0.471357452773364,nudJ
